idx,embedding,chunking,k,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
97,E3_bge_m3_k4,whole_doc,4,0.6818,0.0455,0.0667,1,0.045454545454545456,0.045454545454545456,1.0,1
98,E3_bge_m3_k4,whole_doc,4,0.9375,0.875,0.9333,0,0.375,0.125,0.3333333333333333,0
99,E3_bge_m3_k4,whole_doc,4,0.8824,0.8235,0.9333,0,0.5882352941176471,0.47058823529411764,0.7,1
100,E3_bge_m3_k4,whole_doc,4,0.6667,0.6667,1.0,0,0.47619047619047616,0.2857142857142857,0.6,1
101,E3_bge_m3_k4,whole_doc,4,0.3333,0.2222,0.6667,0,0.1111111111111111,0.16666666666666666,1.0,1
102,E3_bge_m3_k4,whole_doc,4,0.2273,0.2273,1.0,0,0.09090909090909091,0.09090909090909091,1.0,1
103,E3_bge_m3_k4,whole_doc,4,0.2105,0.0,0.0,0,0.15789473684210525,0.05263157894736842,0.3333333333333333,0
104,E3_bge_m3_k4,whole_doc,4,1.0,0.0,0.0,0,0.05263157894736842,0.05263157894736842,1.0,0
105,E3_bge_m3_k4,whole_doc,4,0.8182,0.4545,0.5556,0,0.4090909090909091,0.18181818181818182,0.3333333333333333,0
106,E3_bge_m3_k4,whole_doc,4,0.4,0.4,1.0,0,0.3,0.3,1.0,1
107,E3_bge_m3_k4,whole_doc,4,0.5333,0.0,0.0,0,0.4666666666666667,0.06666666666666667,0.14285714285714285,0
108,E3_bge_m3_k4,whole_doc,4,0.6296,0.6296,1.0,0,0.1111111111111111,0.07407407407407407,0.6666666666666666,0
109,E3_bge_m3_k4,whole_doc,4,0.9333,0.9333,1.0,0,0.4,0.3333333333333333,0.8333333333333334,1
110,E3_bge_m3_k4,whole_doc,4,0.6087,0.6087,1.0,0,0.2608695652173913,0.08695652173913043,0.3333333333333333,0
111,E3_bge_m3_k4,whole_doc,4,1.0,0.1765,0.1765,1,0.35294117647058826,0.23529411764705882,0.6666666666666666,1
112,E3_bge_m3_k4,whole_doc,4,0.4643,0.0357,0.0769,1,0.10714285714285714,0.07142857142857142,0.6666666666666666,1
113,E3_bge_m3_k4,whole_doc,4,0.4667,0.4667,0.8571,0,0.2,0.2,1.0,1
114,E3_bge_m3_k4,whole_doc,4,0.9583,0.75,0.7826,0,0.4583333333333333,0.20833333333333334,0.45454545454545453,1
115,E3_bge_m3_k4,whole_doc,4,0.5,0.1,0.2,1,0.4,0.1,0.25,1
116,E3_bge_m3_k4,whole_doc,4,0.5,0.5,1.0,1,0.2,0.2,1.0,1
117,E3_bge_m3_k4,whole_doc,4,0.8,0.1333,0.1667,1,0.4,0.2,0.5,1
118,E3_bge_m3_k4,whole_doc,4,0.8261,0.0435,0.0526,0,0.391304347826087,0.21739130434782608,0.5555555555555556,1
119,E3_bge_m3_k4,whole_doc,4,0.6923,0.6923,1.0,0,0.15384615384615385,0.15384615384615385,1.0,0
