idx,vectordb,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
65,chromadb,0.5,0.0,0.0,0,0.125,0.0,0.0,1
66,chromadb,0.5,0.2222,0.3333,1,0.5,0.4444444444444444,0.8888888888888888,1
67,chromadb,0.4074,0.037,0.0909,1,0.14814814814814814,0.037037037037037035,0.25,1
68,chromadb,0.3182,0.0909,0.2857,1,0.18181818181818182,0.18181818181818182,1.0,1
69,chromadb,0.5,0.5455,1.0,0,0.22727272727272727,0.09090909090909091,0.4,1
70,chromadb,0.3182,0.1818,0.5714,0,0.4090909090909091,0.2727272727272727,0.6666666666666666,1
71,chromadb,0.2727,0.1818,0.6667,1,0.09090909090909091,0.09090909090909091,1.0,1
72,chromadb,0.25,0.0625,0.25,1,0.25,0.0625,0.25,1
73,chromadb,0.1429,0.0952,0.6667,1,0.09523809523809523,0.09523809523809523,1.0,1
74,chromadb,0.4091,0.0455,0.1111,0,0.13636363636363635,0.09090909090909091,0.6666666666666666,1
75,chromadb,0.4667,0.0,0.0,0,0.26666666666666666,0.26666666666666666,1.0,1
76,chromadb,0.2778,0.1667,0.6,0,0.2222222222222222,0.2222222222222222,1.0,1
77,chromadb,0.5,0.0,0.0,0,0.3125,0.0625,0.2,0
78,chromadb,0.3636,0.0,0.0,1,0.0,0.0,1.0,1
79,chromadb,0.4545,0.0909,0.0,0,0.45454545454545453,0.36363636363636365,0.8,1
80,chromadb,0.75,0.75,1.0,0,0.5,0.375,0.75,1
81,chromadb,0.2308,0.0,0.0,0,0.23076923076923078,0.15384615384615385,0.6666666666666666,0
82,chromadb,0.5,0.25,0.5,0,0.25,0.25,1.0,0
83,chromadb,0.25,0.0,0.0,0,0.125,0.0625,0.5,1
84,chromadb,0.1111,0.0556,0.5,1,0.16666666666666666,0.16666666666666666,1.0,1
85,chromadb,0.16,0.0,0.0,0,0.12,0.04,0.3333333333333333,1
86,chromadb,0.2174,0.1739,0.4,0,0.2608695652173913,0.043478260869565216,0.16666666666666666,0
87,chromadb,0.5556,0.3889,0.6,0,0.6111111111111112,0.5555555555555556,0.9090909090909091,1
88,chromadb,0.4737,0.2632,0.5556,0,0.47368421052631576,0.15789473684210525,0.3333333333333333,1
89,chromadb,0.5714,0.0,0.0,0,0.38095238095238093,0.14285714285714285,0.375,0
90,chromadb,0.3636,0.0909,0.25,0,0.2727272727272727,0.09090909090909091,0.3333333333333333,1
91,chromadb,0.0909,0.0909,1.0,0,0.09090909090909091,0.09090909090909091,1.0,1
92,chromadb,0.1765,0.0588,0.3333,1,0.11764705882352941,0.058823529411764705,0.5,1
93,chromadb,0.2273,0.0455,0.2,1,0.09090909090909091,0.09090909090909091,1.0,1
94,chromadb,0.2727,0.2727,1.0,0,0.2727272727272727,0.09090909090909091,0.3333333333333333,0
95,chromadb,0.2632,0.1579,0.6,0,0.15789473684210525,0.15789473684210525,1.0,1
96,chromadb,0.4545,0.2727,0.6,0,0.4090909090909091,0.22727272727272727,0.5555555555555556,1
97,chromadb,0.0909,0.0455,0.5,1,0.045454545454545456,0.045454545454545456,1.0,1
98,chromadb,0.375,0.375,1.0,1,0.375,0.125,0.3333333333333333,0
99,chromadb,0.3529,0.3529,1.0,0,0.5882352941176471,0.47058823529411764,0.7,1
100,chromadb,0.5238,0.1905,0.3636,0,0.47619047619047616,0.2857142857142857,0.6,1
101,chromadb,0.2222,0.1111,0.5,0,0.1111111111111111,0.16666666666666666,1.0,1
102,chromadb,0.2727,0.3182,1.0,0,0.09090909090909091,0.09090909090909091,1.0,1
103,chromadb,0.1579,0.0526,0.3333,0,0.15789473684210525,0.05263157894736842,0.3333333333333333,0
104,chromadb,0.1053,0.0,0.0,1,0.05263157894736842,0.05263157894736842,1.0,0
105,chromadb,0.3636,0.1818,0.5,0,0.4090909090909091,0.18181818181818182,0.3333333333333333,0
106,chromadb,0.3,0.3,1.0,1,0.3,0.3,1.0,1
107,chromadb,0.2667,0.0,0.0,0,0.4666666666666667,0.06666666666666667,0.14285714285714285,0
108,chromadb,0.5556,0.5556,1.0,0,0.1111111111111111,0.07407407407407407,0.6666666666666666,0
109,chromadb,0.5333,0.3333,0.625,0,0.4,0.3333333333333333,0.8333333333333334,1
110,chromadb,0.1304,0.1304,1.0,0,0.2608695652173913,0.08695652173913043,0.3333333333333333,0
111,chromadb,0.2941,0.1765,0.6,1,0.35294117647058826,0.23529411764705882,0.6666666666666666,1
