idx,generator,model,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
48,E1,llama-3.3-70b-versatile,0.5,0.0909,0.1818,0,0.09090909090909091,0.045454545454545456,0.5,1
49,E1,llama-3.3-70b-versatile,0.1875,0.0625,0.3333,1,0.3125,0.0625,0.2,1
50,E1,llama-3.3-70b-versatile,0.1304,0.0435,0.3333,1,0.043478260869565216,0.043478260869565216,1.0,1
51,E1,llama-3.3-70b-versatile,0.3684,0.3158,0.8571,0,0.42105263157894735,0.21052631578947367,0.5,0
52,E1,llama-3.3-70b-versatile,0.3333,0.1111,0.3333,0,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
53,E1,llama-3.3-70b-versatile,0.1429,0.0476,0.3333,0,0.38095238095238093,0.047619047619047616,0.125,1
54,E1,llama-3.3-70b-versatile,0.2105,0.1579,0.75,1,0.8421052631578947,0.47368421052631576,0.5625,1
55,E1,llama-3.3-70b-versatile,0.6,0.6,1.0,0,0.4,0.25,0.625,1
56,E1,llama-3.3-70b-versatile,0.75,0.5,0.6667,0,0.75,0.4375,0.5833333333333334,1
57,E1,llama-3.3-70b-versatile,0.4,0.1333,0.3333,1,0.3333333333333333,0.06666666666666667,0.2,1
58,E1,llama-3.3-70b-versatile,0.2,0.2,1.0,1,0.4,0.4,1.0,1
59,E1,llama-3.3-70b-versatile,0.1667,0.1667,1.0,0,0.2777777777777778,0.2222222222222222,0.8,1
