exp_id,timestamp,domain,dataset_config,n_examples,fingerprint,judge_model,embedder,chunk_config,gen_model,retrieval,rerank,context_order,context_relevance,context_utilization,completeness,adherence,judge_used,context_relevance_rmse,context_utilization_rmse,completeness_rmse,adherence_auroc,elapsed_s
BIO-015,2026-08-06T19:36:40Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,dense,none,sides,0.332,0.168,0.56,0.813,1,0.2035,0.0894,0.441,0.7727,860.1
BIO-016,2026-08-06T19:49:59Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.314,0.171,0.525,0.833,1,0.2133,0.1159,0.4342,0.5833,796
BIO-017,2026-08-06T20:07:45Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.351,0.175,0.5,0.791,1,0.259,0.1502,0.5041,0.5455,1062.5
BIO-018,2026-08-06T20:27:42Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.316,0.12,0.412,0.717,1,0.235,0.138,0.5606,0.5227,1194.9
BIO-019,2026-08-06T20:40:50Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,forward,0.345,0.213,0.585,0.82,1,0.2211,0.2101,0.5489,0.5833,784.4
BIO-020,2026-08-06T20:54:24Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,reverse,0.318,0.186,0.578,0.74,1,0.2379,0.1373,0.5312,0.7348,810.8
BIO-021,2026-08-06T21:08:21Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,sides,0.303,0.168,0.577,0.78,1,0.2253,0.1002,0.4818,0.7121,834.3
BIO-022,2026-08-06T21:08:36Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.314,0.171,0.525,0.833,1,0.2133,0.1159,0.4342,0.5833,12.2
BIO-023,2026-08-06T21:08:51Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.351,0.175,0.5,0.791,1,0.259,0.1502,0.5041,0.5455,11.8
BIO-024,2026-08-06T21:09:06Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.316,0.12,0.412,0.717,1,0.235,0.138,0.5606,0.5227,11.8
BIO-025,2026-08-06T21:16:30Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,dense,none,forward,0.292,0.176,0.623,0.776,1,0.1564,0.1224,0.4844,0.5455,391.4
BIO-026,2026-08-06T21:21:38Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,dense,none,reverse,0.334,0.229,0.666,0.8,1,0.3065,0.219,0.4082,0.5682,305.4
BIO-027,2026-08-06T21:26:32Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,dense,none,sides,0.326,0.193,0.537,0.8,1,0.1487,0.1621,0.5285,0.3864,291.4
BIO-028,2026-08-06T21:33:37Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.326,0.193,0.528,0.885,1,0.2391,0.1302,0.4873,0.6136,421.7
BIO-029,2026-08-06T21:38:45Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.352,0.195,0.579,0.841,1,0.2214,0.1652,0.5589,0.3636,304.9
BIO-030,2026-08-06T21:43:36Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.301,0.163,0.496,0.803,1,0.2088,0.1213,0.5368,0.3409,287.9
BIO-031,2026-08-06T21:48:43Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,forward,0.328,0.202,0.523,0.809,1,0.2096,0.1644,0.4528,0.3409,303.9
BIO-032,2026-08-06T21:55:21Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,reverse,0.323,0.197,0.541,0.829,1,0.2072,0.1733,0.5038,0.3636,395.4
BIO-033,2026-08-06T22:01:13Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,sides,0.309,0.144,0.488,0.876,1,0.223,0.1342,0.5783,0.4091,348.5
BIO-034,2026-08-06T22:01:25Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.326,0.193,0.528,0.885,1,0.2391,0.1302,0.4873,0.6136,9.4
BIO-035,2026-08-06T22:01:38Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.352,0.195,0.579,0.841,1,0.2214,0.1652,0.5589,0.3636,9.4
BIO-036,2026-08-06T22:01:49Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.301,0.163,0.496,0.803,1,0.2088,0.1213,0.5368,0.3409,8.8
BIO-037,2026-08-06T22:25:38Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,dense,none,forward,0.72,0.287,0.327,0.72,1,0.6124,0.3566,0.5763,0.5303,717.4
BIO-038,2026-08-06T22:29:42Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,dense,none,reverse,0.72,0.233,0.28,0.72,1,0.6124,0.3348,0.6404,0.5303,240.2
BIO-039,2026-08-06T22:34:34Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,dense,none,sides,0.733,0.24,0.261,0.7,1,0.622,0.3588,0.5867,0.5152,289.2
BIO-040,2026-08-06T22:39:36Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.75,0.253,0.307,0.74,1,0.6429,0.358,0.6096,0.5379,299.2
BIO-041,2026-08-06T22:44:14Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.723,0.28,0.36,0.76,1,0.6254,0.3721,0.5836,0.553,275.1
BIO-042,2026-08-06T22:49:43Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.683,0.3,0.42,0.8,1,0.5968,0.389,0.5473,0.5758,326.1
BIO-043,2026-08-06T22:54:09Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,hybrid,none,forward,0.71,0.22,0.3,0.76,1,0.6062,0.3281,0.6139,0.553,263.1
BIO-044,2026-08-06T22:56:14Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,hybrid,none,reverse,0.703,0.187,0.287,0.72,1,0.6192,0.3264,0.6435,0.5303,121.8
BIO-045,2026-08-06T22:58:49Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,hybrid,none,sides,0.703,0.2,0.273,0.76,1,0.5961,0.308,0.5875,0.553,152.1
BIO-046,2026-08-06T23:00:38Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.723,0.327,0.397,0.8,1,0.6075,0.4026,0.5777,0.5758,105.7
BIO-047,2026-08-06T23:02:55Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.71,0.34,0.427,0.8,1,0.6043,0.4103,0.5721,0.5758,134.4
BIO-048,2026-08-06T23:06:43Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,fixed_200w,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.683,0.347,0.46,0.84,1,0.5891,0.4256,0.5442,0.5985,224.2
BIO-049,2026-08-06T23:13:53Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,none,forward,0.307,0.213,0.621,0.92,1,0.1749,0.1673,0.5093,0.4545,414.4
BIO-050,2026-08-06T23:20:16Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,none,reverse,0.351,0.21,0.562,0.809,1,0.2604,0.2005,0.4713,0.3636,380.1
BIO-051,2026-08-06T23:27:15Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.323,0.185,0.551,0.804,1,0.1851,0.1668,0.5388,0.553,416.3
BIO-052,2026-08-06T23:27:27Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.335,0.197,0.551,0.885,1,0.2181,0.1268,0.4728,0.4091,8.5
BIO-053,2026-08-06T23:27:37Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.357,0.207,0.563,0.841,1,0.2307,0.2293,0.5592,0.5758,7.8
BIO-054,2026-08-06T23:27:47Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.286,0.16,0.497,0.763,1,0.2085,0.1208,0.5271,0.5303,6.7
BIO-055,2026-08-06T23:30:55Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,forward,0.289,0.206,0.582,0.913,1,0.2296,0.1819,0.4551,0.4318,185.1
BIO-056,2026-08-06T23:38:43Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,reverse,0.312,0.188,0.511,0.92,1,0.2007,0.1664,0.5089,0.4545,464.6
BIO-057,2026-08-06T23:41:20Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,sides,0.29,0.171,0.561,0.789,1,0.2502,0.1443,0.5654,0.553,154.5
BIO-058,2026-08-06T23:41:30Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.335,0.197,0.551,0.885,1,0.2181,0.1268,0.4728,0.4091,6.7
BIO-059,2026-08-06T23:41:41Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.357,0.207,0.563,0.841,1,0.2307,0.2293,0.5592,0.5758,8
BIO-060,2026-08-06T23:41:53Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.286,0.16,0.497,0.763,1,0.2085,0.1208,0.5271,0.5303,8.5
BIO-061,2026-08-06T23:52:40Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,dense,none,forward,0.317,0.167,0.525,0.876,1,0.2566,0.1614,0.4861,0.4091,633.3
BIO-062,2026-08-07T00:02:30Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,dense,none,reverse,0.335,0.131,0.39,0.68,1,0.251,0.1547,0.5611,0.5076,586.3
BIO-063,2026-08-07T00:11:53Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,dense,none,sides,0.335,0.164,0.59,0.944,1,0.2198,0.1228,0.49,0.6515,560.6
BIO-064,2026-08-07T00:12:07Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.314,0.171,0.525,0.833,1,0.2133,0.1159,0.4342,0.5833,10.5
BIO-065,2026-08-07T00:12:20Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.351,0.175,0.5,0.791,1,0.259,0.1502,0.5041,0.5455,10.5
BIO-066,2026-08-07T00:12:34Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.316,0.12,0.412,0.717,1,0.235,0.138,0.5606,0.5227,10.5
BIO-067,2026-08-07T00:23:46Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,forward,0.272,0.16,0.508,0.88,1,0.1757,0.1211,0.4825,0.6212,669.2
BIO-068,2026-08-07T00:32:29Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,reverse,0.357,0.159,0.485,0.792,1,0.2201,0.1478,0.5273,0.3636,519.3
BIO-069,2026-08-07T00:42:00Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,sides,0.322,0.164,0.586,0.876,1,0.1901,0.1035,0.4791,0.6061,568
BIO-070,2026-08-07T00:42:14Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.314,0.171,0.525,0.833,1,0.2133,0.1159,0.4342,0.5833,11.7
BIO-071,2026-08-07T00:42:29Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.351,0.175,0.5,0.791,1,0.259,0.1502,0.5041,0.5455,12
BIO-072,2026-08-07T00:42:44Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.316,0.12,0.412,0.717,1,0.235,0.138,0.5606,0.5227,11.7
BIO-073,2026-08-07T00:47:20Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,none,forward,0.312,0.223,0.639,0.88,1,0.1627,0.1951,0.5169,0.4318,264.9
BIO-074,2026-08-07T00:51:32Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,none,reverse,0.371,0.235,0.583,0.769,1,0.2593,0.233,0.5047,0.5455,249
BIO-075,2026-08-07T00:57:04Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,none,sides,0.307,0.171,0.569,0.884,1,0.1619,0.1179,0.4662,0.3864,329.2
BIO-076,2026-08-07T00:57:15Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.326,0.193,0.528,0.885,1,0.2391,0.1302,0.4873,0.6136,8.4
BIO-077,2026-08-07T00:57:28Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.352,0.195,0.579,0.841,1,0.2214,0.1652,0.5589,0.3636,9.3
BIO-078,2026-08-07T00:57:40Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.301,0.163,0.496,0.803,1,0.2088,0.1213,0.5368,0.3409,9.3
BIO-079,2026-08-07T01:02:18Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,forward,0.309,0.213,0.577,0.893,1,0.2287,0.18,0.4637,0.5909,275
BIO-080,2026-08-07T01:07:26Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,reverse,0.301,0.199,0.522,0.88,1,0.1859,0.1651,0.4787,0.4318,304.9
BIO-081,2026-08-07T01:11:08Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,sides,0.311,0.194,0.56,0.869,1,0.2353,0.2046,0.5777,0.3864,218.8
BIO-082,2026-08-07T01:11:18Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.326,0.193,0.528,0.885,1,0.2391,0.1302,0.4873,0.6136,7.6
BIO-083,2026-08-07T01:11:29Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.352,0.195,0.579,0.841,1,0.2214,0.1652,0.5589,0.3636,7.7
BIO-084,2026-08-07T01:11:41Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.301,0.163,0.496,0.803,1,0.2088,0.1213,0.5368,0.3409,9.2
BIO-085,2026-08-07T01:16:27Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,dense,none,forward,0.74,0.18,0.2,0.68,1,0.6284,0.3223,0.6651,0.5076,166.6
BIO-086,2026-08-07T01:18:37Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,dense,none,reverse,0.753,0.187,0.207,0.632,1,0.6422,0.3339,0.6643,0.4697,127.3
BIO-087,2026-08-07T01:20:36Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,dense,none,sides,0.727,0.2,0.233,0.64,1,0.6163,0.3411,0.6366,0.4848,115.6
BIO-088,2026-08-07T01:22:22Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.737,0.193,0.235,0.74,1,0.6328,0.3052,0.6122,0.5379,103.8
BIO-089,2026-08-07T01:24:32Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.763,0.28,0.3,0.72,1,0.6419,0.3617,0.5781,0.5303,126.8
BIO-090,2026-08-07T01:27:44Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.71,0.233,0.307,0.737,1,0.6188,0.3166,0.5547,0.5379,189
BIO-091,2026-08-07T01:29:36Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,hybrid,none,forward,0.717,0.14,0.207,0.64,1,0.6213,0.2796,0.6606,0.4848,108.8
BIO-092,2026-08-07T01:32:15Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,hybrid,none,reverse,0.75,0.18,0.213,0.64,1,0.6323,0.3212,0.6597,0.4848,155.8
