i,error,question,response,retrieved_idx,context_relevance,context_utilization,completeness,adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
13,False,Toyota Innova is part of the IMV program along with which light commercial vehicle?,The Toyota Innova is part of the IMV program together with the Hilux pickup truck and the Fortuner SUV.,"[0, 3, 2, 1]",0.4118,0.0588,0.1429,True,0.11764705882352941,0.11764705882352941,1.0,True
14,False,BOTH Skyang Kangri and Pumari Chhish are both what?,Both Skyang Kangri and Pumari Chhish are high peaks of the Karakoram range.,"[1, 0, 3, 2]",0.1538,0.1538,1.0,True,0.15384615384615385,0.15384615384615385,1.0,True
15,False,Telos was an album by a band who formed in what city?,"Indianapolis, Indiana.","[3, 0, 2, 1]",0.0769,0.0769,1.0,True,0.11538461538461539,0.07692307692307693,0.6666666666666666,True
16,False,"Manchester, New Hampshire is a part of the Northeast megalopolis which included what other major cities?","Manchester, New Hampshire is a part of the Northeast megalopolis, which included major cities such as Boston, Providence, Hartford, New York City, Philadelphia, Wilmington, Baltimore, and Washington, ","[3, 1, 0, 2]",0.1364,0.1364,1.0,True,0.22727272727272727,0.045454545454545456,0.2,True
17,False,Which tendencies does a group like Uyoku dantai fall under?,"A group like Uyoku dantai falls under nationalist and nativist ideologies, as well as authoritarian tendencies.","[1, 0, 3, 2]",0.2222,0.2222,1.0,True,0.4444444444444444,0.2222222222222222,0.5,True
18,False,What is the capitol of the district that also includes the village of Shienga?,"The capital of the East Mamprusi District, which includes the village of Shienga, is Gambaga.","[1, 0, 2, 3]",0.2353,0.1176,0.5,True,0.17647058823529413,0.11764705882352941,0.6666666666666666,True
19,False,How many disciplines are combined in the degree that Hector Janse van Rensburg graduated from the University of York wit,Three disciplines are combined in the degree that Hector Janse van Rensburg graduated from the University of York with.,"[2, 0, 3, 1]",0.25,0.25,1.0,True,0.25,0.25,1.0,True
20,False,"In what year did the actor who starred in the TV Land original series ""The Soul Man"" host the Black Movie Awards?",Cannot answer from the given context.,"[3, 2, 0, 1]",0.1765,0.0,0.0,True,0.23529411764705882,0.11764705882352941,0.5,True
21,False,Havelock Ellis and Arnold Bennett were both what?,English.,"[0, 3, 1, 2]",0.125,0.125,1.0,True,0.1875,0.1875,1.0,True
22,False,What  unincorporated town along the Amargosa River is near the Sarcobatus Flat?,Beatty is an unincorporated town along the Amargosa River in Nye County in the U.S. state of Nevada.,"[2, 3, 1, 0]",0.1538,0.0769,0.5,True,0.23076923076923078,0.07692307692307693,0.3333333333333333,True
23,False,What color was the dog that Socks had conflicts with?,Cannot answer from the given context.,"[3, 2, 0, 1]",0.1429,0.0,0.0,False,0.09523809523809523,0.09523809523809523,1.0,True
24,False,"Where does the team coached by someone with the nickname ""Coach K"" play?",Duke University.,"[3, 0, 2, 1]",0.1905,0.1429,0.75,True,0.19047619047619047,0.09523809523809523,0.5,True
