exp_id,timestamp,domain,status,embedder,chunk_config,gen_model,judge_model,retrieval,rerank,context_order,k_retrieve,k_final,seed,n_examples,context_relevance,context_utilization,completeness,adherence,ref_context_relevance,ref_context_utilization,ref_completeness,ref_adherence,context_relevance_rmse,context_utilization_rmse,completeness_rmse,adherence_rmse,context_relevance_mae,context_utilization_mae,completeness_mae,adherence_mae,adherence_auroc,adherence_accuracy,adherence_pos_rate,n_gold_adherence,judge_used,runtime_sec
CS-031,2026-08-02T07:32:35+00:00,customer_support,done,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,1,0.2857,0.1429,0.5,0.0,0.0342,0.0342,1.0,1.0,0.2515,0.1087,0.5,1.0,0.2515,0.1087,0.5,1.0,,0.0,1.0,1,1.0,0.0
CS-032,2026-08-02T07:32:35+00:00,customer_support,done,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,1,0.2857,0.1429,0.5,0.0,0.0342,0.0342,1.0,1.0,0.2515,0.1087,0.5,1.0,0.2515,0.1087,0.5,1.0,,0.0,1.0,1,1.0,0.0
CS-033,2026-08-02T07:32:35+00:00,customer_support,done,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,1,0.2857,0.2143,0.75,0.3333,0.0342,0.0342,1.0,1.0,0.2515,0.1801,0.25,0.6667,0.2515,0.1801,0.25,0.6667,,0.0,1.0,1,1.0,0.0
CS-034,2026-08-02T07:32:36+00:00,customer_support,done,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,1,0.2857,0.2857,1.0,0.6667,0.0342,0.0342,1.0,1.0,0.2515,0.2515,0.0,0.3333,0.2515,0.2515,0.0,0.3333,,1.0,1.0,1,1.0,1.2
CS-035,2026-08-02T07:32:38+00:00,customer_support,done,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,1,0.3571,0.0714,0.2,0.5,0.0342,0.0342,1.0,1.0,0.3229,0.0372,0.8,0.5,0.3229,0.0372,0.8,0.5,,1.0,1.0,1,1.0,1.2
CS-036,2026-08-02T07:32:39+00:00,customer_support,done,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,1,0.3571,0.1429,0.4,0.0,0.0342,0.0342,1.0,1.0,0.3229,0.1087,0.6,1.0,0.3229,0.1087,0.6,1.0,,0.0,1.0,1,1.0,1.2
CS-037,2026-08-02T07:33:30+00:00,customer_support,done,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,1,0.1667,0.0833,0.5,0.5,0.0342,0.0342,1.0,1.0,0.1325,0.0491,0.5,0.5,0.1325,0.0491,0.5,0.5,,1.0,1.0,1,1.0,40.9
CS-038,2026-08-02T07:34:34+00:00,customer_support,done,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,1,0.125,0.0417,0.3333,0.0,0.0342,0.0342,1.0,1.0,0.0908,0.0075,0.6667,1.0,0.0908,0.0075,0.6667,1.0,,0.0,1.0,1,1.0,63.0
CS-039,2026-08-02T07:35:15+00:00,customer_support,done,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,1,0.1667,0.0833,0.5,0.5,0.0342,0.0342,1.0,1.0,0.1325,0.0491,0.5,0.5,0.1325,0.0491,0.5,0.5,,1.0,1.0,1,1.0,41.6
CS-040,2026-08-02T07:35:38+00:00,customer_support,done,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,1,0.1667,0.0833,0.5,0.6667,0.0342,0.0342,1.0,1.0,0.1325,0.0491,0.5,0.3333,0.1325,0.0491,0.5,0.3333,,1.0,1.0,1,1.0,23.0
CS-041,2026-08-02T07:36:37+00:00,customer_support,done,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,1,0.1667,0.125,0.75,0.6667,0.0342,0.0342,1.0,1.0,0.1325,0.0908,0.25,0.3333,0.1325,0.0908,0.25,0.3333,,1.0,1.0,1,1.0,58.9
CS-042,2026-08-02T07:36:43+00:00,customer_support,done,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,1,0.125,0.0417,0.3333,0.0,0.0342,0.0342,1.0,1.0,0.0908,0.0075,0.6667,1.0,0.0908,0.0075,0.6667,1.0,,0.0,1.0,1,1.0,5.0
CS-043,2026-08-02T07:37:13+00:00,customer_support,done,bge-small-en-v1.5,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,1,0.2,0.2,1.0,0.5,0.0342,0.0342,1.0,1.0,0.1658,0.1658,0.0,0.5,0.1658,0.1658,0.0,0.5,,1.0,1.0,1,1.0,26.0
CS-044,2026-08-02T07:37:38+00:00,customer_support,done,bge-small-en-v1.5,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,1,0.2,0.2,1.0,0.3333,0.0342,0.0342,1.0,1.0,0.1658,0.1658,0.0,0.6667,0.1658,0.1658,0.0,0.6667,,0.0,1.0,1,1.0,25.3
CS-045,2026-08-02T07:37:51+00:00,customer_support,done,bge-small-en-v1.5,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,1,0.2,0.2,1.0,0.5,0.0342,0.0342,1.0,1.0,0.1658,0.1658,0.0,0.5,0.1658,0.1658,0.0,0.5,,1.0,1.0,1,1.0,12.7
CS-046,2026-08-02T07:37:53+00:00,customer_support,done,bge-small-en-v1.5,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,1,0.2,0.2,1.0,0.3333,0.0342,0.0342,1.0,1.0,0.1658,0.1658,0.0,0.6667,0.1658,0.1658,0.0,0.6667,,0.0,1.0,1,1.0,1.9
CS-047,2026-08-02T07:37:55+00:00,customer_support,done,bge-small-en-v1.5,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,1,0.2,0.2,1.0,0.3333,0.0342,0.0342,1.0,1.0,0.1658,0.1658,0.0,0.6667,0.1658,0.1658,0.0,0.6667,,0.0,1.0,1,1.0,1.9
CS-048,2026-08-02T07:37:58+00:00,customer_support,done,bge-small-en-v1.5,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,1,0.2,0.2,1.0,0.5,0.0342,0.0342,1.0,1.0,0.1658,0.1658,0.0,0.5,0.1658,0.1658,0.0,0.5,,1.0,1.0,1,1.0,2.8
CS-001,2026-08-02T08:08:28+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,25,0.0812,0.0496,0.5689,0.7293,0.0588,0.0306,0.6378,0.6,0.0437,0.0494,0.6151,0.6292,0.0341,0.0343,0.519,0.4852,0.4867,0.52,0.6,25,1.0,1258.4
CS-002,2026-08-02T08:24:27+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,25,0.0942,0.042,0.4071,0.4712,0.0588,0.0306,0.6378,0.6,0.0804,0.0618,0.6298,0.584,0.0563,0.0438,0.5259,0.4125,0.6233,0.64,0.6,25,1.0,959.3
CS-003,2026-08-02T08:44:44+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,25,0.098,0.0403,0.4406,0.581,0.0588,0.0306,0.6378,0.6,0.0709,0.0298,0.4981,0.5424,0.0521,0.0216,0.3984,0.3677,0.6767,0.68,0.6,25,0.88,1216.2
CS-004,2026-08-02T09:01:49+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,25,0.0933,0.0477,0.4105,0.4686,0.0588,0.0306,0.6378,0.6,0.0683,0.0549,0.6196,0.6778,0.0459,0.0404,0.5247,0.5403,0.4533,0.44,0.6,25,1.0,1025.1
CS-005,2026-08-02T09:20:34+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,25,0.1067,0.0514,0.4113,0.3976,0.0588,0.0306,0.6378,0.6,0.0898,0.0824,0.6391,0.691,0.0593,0.0482,0.5553,0.5683,0.4333,0.4,0.6,25,0.92,1124.7
CS-006,2026-08-02T09:32:44+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,25,0.0893,0.0344,0.4425,0.5321,0.0588,0.0306,0.6378,0.6,0.0597,0.0381,0.5796,0.5693,0.0452,0.0283,0.4793,0.3898,0.64,0.64,0.6,25,1.0,730.0
CS-007,2026-08-02T09:53:02+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,25,0.3798,0.2147,0.5476,0.6131,0.0588,0.0306,0.6378,0.6,0.3592,0.2534,0.5632,0.6359,0.3227,0.1895,0.458,0.4451,0.5233,0.6,0.6,25,1.0,1092.0
CS-008,2026-08-02T10:05:43+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,25,0.3558,0.2127,0.5784,0.6,0.0588,0.0306,0.6378,0.6,0.3552,0.2397,0.5569,0.6717,0.3009,0.1859,0.4258,0.496,0.48,0.52,0.6,25,1.0,761.0
CS-009,2026-08-02T10:17:06+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,25,0.3989,0.1414,0.3805,0.4687,0.0588,0.0306,0.6378,0.6,0.4048,0.1989,0.5468,0.5565,0.344,0.1282,0.4428,0.3513,0.7067,0.64,0.6,25,0.96,683.2
CS-010,2026-08-02T10:38:05+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,25,0.388,0.2263,0.5471,0.6352,0.0588,0.0306,0.6378,0.6,0.3962,0.2654,0.4826,0.6291,0.3315,0.203,0.3482,0.4485,0.5233,0.56,0.6,25,1.0,1258.6
CS-011,2026-08-02T10:59:27+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,25,0.4138,0.2128,0.472,0.601,0.0588,0.0306,0.6378,0.6,0.4102,0.2739,0.6327,0.6761,0.3605,0.1957,0.5267,0.521,0.4667,0.48,0.6,25,0.92,1282.1
CS-012,2026-08-02T11:11:17+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,25,0.3962,0.1598,0.3787,0.5809,0.0588,0.0306,0.6378,0.6,0.4009,0.2051,0.5658,0.6599,0.3436,0.1442,0.4672,0.4609,0.54,0.52,0.6,25,1.0,709.5
CS-013,2026-08-02T11:26:16+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,25,0.2857,0.136,0.4332,0.6067,0.0588,0.0306,0.6378,0.6,0.2772,0.1826,0.5271,0.5911,0.2336,0.1208,0.4069,0.3933,0.5667,0.68,0.6,25,0.92,806.1
CS-014,2026-08-02T11:49:26+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,25,0.271,0.1188,0.3649,0.4061,0.0588,0.0306,0.6378,0.6,0.2768,0.2042,0.6339,0.687,0.215,0.1225,0.5091,0.5128,0.52,0.44,0.6,25,0.96,1389.3
CS-015,2026-08-02T12:04:20+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,25,0.2649,0.1364,0.4629,0.7006,0.0588,0.0306,0.6378,0.6,0.2526,0.1591,0.4682,0.531,0.2123,0.1144,0.3629,0.3166,0.6833,0.68,0.6,25,0.92,894.5
CS-016,2026-08-02T12:18:52+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,25,0.2627,0.1739,0.5494,0.626,0.0588,0.0306,0.6378,0.6,0.2491,0.1976,0.5024,0.5371,0.2101,0.1494,0.3857,0.342,0.64,0.72,0.6,25,1.0,871.5
CS-017,2026-08-02T12:30:07+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,25,0.249,0.1464,0.5042,0.5977,0.0588,0.0306,0.6378,0.6,0.2484,0.1837,0.5513,0.5523,0.1964,0.1271,0.4306,0.3577,0.6367,0.68,0.6,25,0.96,674.9
CS-018,2026-08-02T12:40:48+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,25,0.2856,0.1741,0.5496,0.6446,0.0588,0.0306,0.6378,0.6,0.266,0.1919,0.5705,0.5333,0.2296,0.1496,0.4735,0.3308,0.6467,0.72,0.6,25,1.0,640.1
CS-019,2026-08-02T13:02:38+00:00,customer_support,done,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,25,0.416,0.28,0.59,0.5984,0.0588,0.0306,0.6378,0.6,0.4589,0.3686,0.5345,0.6888,0.3662,0.2631,0.38,0.5013,0.4933,0.48,0.6,25,0.88,1232.3
CS-020,2026-08-02T13:13:57+00:00,customer_support,done,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,25,0.464,0.32,0.5473,0.5446,0.0588,0.0306,0.6378,0.6,0.5049,0.4387,0.6694,0.7163,0.4092,0.3099,0.5394,0.5694,0.3867,0.48,0.6,25,0.92,678.8
CS-021,2026-08-02T13:24:37+00:00,customer_support,done,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,25,0.448,0.32,0.562,0.564,0.0588,0.0306,0.6378,0.6,0.4804,0.4199,0.629,0.6454,0.3932,0.3027,0.4849,0.4773,0.5333,0.52,0.6,25,0.96,639.7
CS-022,2026-08-02T13:38:32+00:00,customer_support,done,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,25,0.416,0.28,0.5267,0.4932,0.0588,0.0306,0.6378,0.6,0.4439,0.385,0.646,0.7545,0.3634,0.2683,0.5033,0.6199,0.3567,0.32,0.6,25,0.96,834.4
CS-023,2026-08-02T13:52:42+00:00,customer_support,done,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,25,0.416,0.264,0.528,0.6342,0.0588,0.0306,0.6378,0.6,0.4542,0.362,0.594,0.7203,0.3634,0.2559,0.4389,0.5569,0.4067,0.4,0.6,25,0.96,849.9
