idx,strategy,our_relevance,ref_relevance,our_utilization,ref_utilization,our_completeness,ref_completeness,our_adherence,ref_adherence
128,A3_E1_rerank,0.412,0.529,0.412,0.529,1.0,1.0,0,0
129,A3_E1_rerank,0.15,0.3,0.15,0.2,1.0,0.667,0,1
130,A3_E1_rerank,0.182,0.091,0.045,0.045,0.25,0.5,0,1
131,A3_E1_rerank,0.077,0.154,0.077,0.154,1.0,1.0,0,1
133,A3_E1_rerank,0.273,0.182,0.182,0.273,0.667,1.0,0,1
134,A3_E1_rerank,0.435,0.174,0.043,0.043,0.0,0.25,1,1
135,A3_E1_rerank,0.154,0.192,0.154,0.115,1.0,0.6,0,0
136,A3_E1_rerank,0.25,0.25,0.05,0.15,0.2,0.6,1,1
137,A3_E1_rerank,0.48,0.04,0.04,0.04,0.083,1.0,1,1
138,A3_E1_rerank,0.619,0.429,0.238,0.333,0.385,0.667,0,1
139,A3_E1_rerank,0.2,0.55,0.0,0.0,0.0,0.0,0,1
140,A3_E1_rerank,0.533,0.533,0.467,0.467,0.875,0.875,0,1
141,A3_E1_rerank,0.13,0.174,0.087,0.13,0.667,0.75,0,1
142,A3_E1_rerank,0.143,0.238,0.191,0.19,1.0,0.8,0,1
143,A3_E1_rerank,0.4,0.32,0.16,0.2,0.4,0.625,1,1
144,A3_E1_rerank,0.118,0.118,0.059,0.118,0.5,1.0,1,1
145,A3_E1_rerank,0.318,0.182,0.318,0.045,1.0,0.25,0,1
146,A3_E1_rerank,0.167,0.583,0.25,0.333,1.0,0.571,0,1
147,A3_E1_rerank,0.412,0.471,0.412,0.235,1.0,0.5,0,1
148,A3_E1_rerank,0.556,0.444,0.333,0.333,0.6,0.75,0,1
149,A3_E1_rerank,0.188,0.0,0.188,0.0,1.0,1.0,1,1
150,A3_E1_rerank,0.333,0.267,0.133,0.333,0.4,1.0,1,0
151,A3_E1_rerank,0.227,0.182,0.091,0.091,0.4,0.5,0,1
152,A3_E1_rerank,0.222,0.333,0.222,0.222,1.0,0.667,0,0
153,A3_E1_rerank,0.263,0.158,0.105,0.053,0.4,0.333,0,1
154,A3_E1_rerank,0.421,0.158,0.263,0.105,0.375,0.667,0,1
155,A3_E1_rerank,0.115,0.462,0.038,0.038,0.333,0.083,1,1
156,A3_E1_rerank,1.0,0.0,0.191,0.429,0.191,1.0,1,1
157,A3_E1_rerank,0.158,0.211,0.053,0.105,0.333,0.5,1,1
158,A3_E1_rerank,0.267,0.533,0.0,0.4,0.0,0.75,0,1
159,A3_E1_rerank,0.444,0.333,0.111,0.167,0.25,0.5,0,1
161,A3_E1_rerank,0.609,0.522,0.043,0.0,0.071,0.0,0,0
162,A3_E1_rerank,0.636,0.5,0.318,0.364,0.5,0.727,0,1
163,A3_E1_rerank,0.286,0.143,0.0,0.143,0.0,1.0,0,1
164,A3_E1_rerank,0.333,0.333,0.389,0.278,0.833,0.833,0,1
165,A3_E1_rerank,0.5,0.312,0.25,0.188,0.5,0.6,0,1
166,A3_E1_rerank,0.524,0.238,0.524,0.238,1.0,1.0,0,0
168,A3_E1_rerank,0.125,0.125,0.062,0.125,0.5,1.0,1,1
169,A3_E1_rerank,0.261,0.261,0.087,0.043,0.333,0.167,1,1
170,A3_E1_rerank,0.333,0.417,0.167,0.333,0.5,0.8,0,1
171,A3_E1_rerank,0.333,0.222,0.111,0.111,0.333,0.5,0,1
172,A3_E1_rerank,0.333,0.2,0.133,0.133,0.4,0.667,1,1
173,A3_E1_rerank,0.158,0.368,0.21,0.368,1.0,1.0,0,1
174,A3_E1_rerank,0.474,0.421,0.158,0.158,0.222,0.375,0,1
175,A3_E1_rerank,0.091,0.182,0.091,0.091,1.0,0.5,1,1
176,A3_E1_rerank,0.385,0.038,0.231,0.038,0.6,1.0,1,1
177,A3_E1_rerank,0.25,0.125,0.208,0.125,0.833,1.0,0,0
178,A3_E1_rerank,0.917,0.417,0.917,0.25,1.0,0.6,0,1
179,A3_E1_rerank,0.333,0.583,0.167,0.542,0.375,0.929,0,1
180,A3_E1_rerank,0.312,0.188,0.062,0.125,0.2,0.667,1,1
181,A3_E1_rerank,0.45,0.4,0.45,0.15,1.0,0.375,0,1
182,A3_E1_rerank,0.562,0.375,0.0,0.312,0.0,0.833,0,1
183,A3_E1_rerank,0.192,0.154,0.038,0.077,0.2,0.5,0,1
184,A3_E1_rerank,0.304,0.174,0.043,0.043,0.143,0.25,1,1
185,A3_E1_rerank,0.917,0.167,0.0,0.083,0.0,0.5,1,1
186,A3_E1_rerank,0.389,0.222,0.167,0.222,0.429,1.0,0,1
187,A3_E1_rerank,0.72,0.4,0.2,0.16,0.222,0.4,0,1
188,A3_E1_rerank,0.286,0.286,0.143,0.286,0.5,1.0,1,1
189,A3_E1_rerank,0.2,0.25,0.05,0.2,0.25,0.8,1,1
190,A3_E1_rerank,0.3,0.4,0.35,0.3,1.0,0.75,0,0
191,A3_E1_rerank,0.316,0.211,0.105,0.211,0.333,1.0,0,1
192,A3_E1_rerank,0.316,0.211,0.21,0.105,0.667,0.5,0,1
193,A3_E1_rerank,0.5,0.071,0.071,0.071,0.143,1.0,1,1
194,A3_E1_rerank,0.5,0.25,0.25,0.25,0.5,1.0,0,1
195,A3_E1_rerank,0.35,0.45,0.2,0.25,0.571,0.556,0,1
196,A3_E1_rerank,0.55,0.2,0.15,0.2,0.273,1.0,0,1
197,A3_E1_rerank,0.167,0.25,0.0,0.167,0.0,0.667,0,1
198,A3_E1_rerank,0.417,0.583,0.5,0.333,1.0,0.571,0,1
199,A3_E1_rerank,0.278,0.278,0.0,0.111,0.0,0.4,0,1
200,A3_E1_rerank,0.2,0.267,0.0,0.267,0.0,1.0,0,1
201,A3_E1_rerank,0.5,0.091,0.045,0.045,0.091,0.5,1,1
202,A3_E1_rerank,0.238,0.238,0.238,0.238,1.0,1.0,0,1
203,A3_E1_rerank,0.263,0.316,0.0,0.263,0.0,0.667,0,0
204,A3_E1_rerank,0.533,0.467,0.2,0.2,0.375,0.429,0,1
205,A3_E1_rerank,0.185,0.222,0.185,0.111,1.0,0.5,0,1
206,A3_E1_rerank,0.652,0.13,0.087,0.043,0.133,0.333,0,1
207,A3_E1_rerank,0.056,0.222,0.056,0.056,1.0,0.25,1,1
208,A3_E1_rerank,0.357,0.357,0.143,0.214,0.4,0.6,1,1
209,A3_E1_rerank,0.483,0.103,0.069,0.103,0.143,1.0,0,1
210,A3_E1_rerank,0.375,0.625,0.062,0.312,0.167,0.5,0,1
211,A3_E1_rerank,0.9,0.4,0.0,0.4,0.0,1.0,0,1
212,A3_E1_rerank,0.25,0.188,0.188,0.125,0.75,0.667,0,1
213,A3_E1_rerank,0.273,0.182,0.136,0.182,0.5,0.75,0,1
214,A3_E1_rerank,0.25,0.125,0.0,0.125,0.0,1.0,0,1
215,A3_E1_rerank,0.324,0.054,0.081,0.054,0.25,1.0,1,1
216,A3_E1_rerank,0.333,0.333,0.083,0.333,0.25,1.0,1,1
217,A3_E1_rerank,0.714,0.429,0.0,0.429,0.0,1.0,0,0
218,A3_E1_rerank,0.125,0.25,0.0,0.25,0.0,1.0,0,1
219,A3_E1_rerank,0.6,0.7,0.6,0.2,1.0,0.286,0,1
