idx,strategy,our_relevance,ref_relevance,our_utilization,ref_utilization,our_completeness,ref_completeness,our_adherence,ref_adherence
51,A3_E3_rerank,0.368,0.421,0.0,0.211,0.0,0.5,0,0
52,A3_E3_rerank,0.333,0.333,0.111,0.222,0.333,0.667,1,1
53,A3_E3_rerank,0.095,0.381,0.048,0.048,0.5,0.125,0,1
54,A3_E3_rerank,0.158,0.842,0.105,0.474,0.667,0.562,1,1
55,A3_E3_rerank,0.85,0.4,0.85,0.25,1.0,0.625,0,1
56,A3_E3_rerank,0.562,0.75,0.0,0.438,0.0,0.583,1,1
57,A3_E3_rerank,0.4,0.333,0.067,0.067,0.167,0.2,0,1
59,A3_E3_rerank,0.222,0.278,0.222,0.222,1.0,0.8,0,1
60,A3_E3_rerank,0.75,0.75,0.125,0.375,0.167,0.5,1,1
61,A3_E3_rerank,0.25,0.0,0.125,0.0,0.5,1.0,0,1
62,A3_E3_rerank,0.393,0.357,0.393,0.286,1.0,0.8,0,0
63,A3_E3_rerank,0.25,0.375,0.25,0.375,1.0,1.0,0,0
64,A3_E3_rerank,0.5,0.375,0.25,0.167,0.5,0.444,0,1
66,A3_E3_rerank,0.444,0.5,0.167,0.444,0.375,0.889,1,1
67,A3_E3_rerank,0.407,0.148,0.037,0.037,0.091,0.25,1,1
68,A3_E3_rerank,0.364,0.182,0.091,0.182,0.25,1.0,1,1
69,A3_E3_rerank,0.5,0.227,0.409,0.091,0.727,0.4,0,1
70,A3_E3_rerank,0.273,0.409,0.182,0.273,0.667,0.667,0,1
71,A3_E3_rerank,0.273,0.091,0.182,0.091,0.667,1.0,1,1
72,A3_E3_rerank,0.312,0.25,0.062,0.062,0.2,0.25,1,1
73,A3_E3_rerank,0.143,0.095,0.143,0.095,1.0,1.0,1,1
74,A3_E3_rerank,0.273,0.136,0.045,0.091,0.167,0.667,0,1
75,A3_E3_rerank,0.467,0.267,0.0,0.267,0.0,1.0,0,1
76,A3_E3_rerank,0.278,0.222,0.167,0.222,0.6,1.0,0,1
77,A3_E3_rerank,0.688,0.312,0.0,0.062,0.0,0.2,0,0
78,A3_E3_rerank,0.364,0.0,0.0,0.0,0.0,1.0,1,1
79,A3_E3_rerank,0.364,0.455,0.091,0.364,0.25,0.8,1,1
80,A3_E3_rerank,0.75,0.5,0.75,0.375,1.0,0.75,0,1
81,A3_E3_rerank,0.308,0.231,0.0,0.154,0.0,0.667,0,0
82,A3_E3_rerank,0.5,0.25,0.25,0.25,0.5,1.0,0,0
83,A3_E3_rerank,0.312,0.125,0.0,0.062,0.0,0.5,0,1
84,A3_E3_rerank,0.111,0.167,0.056,0.167,0.5,1.0,1,1
85,A3_E3_rerank,0.2,0.12,0.0,0.04,0.0,0.333,1,1
86,A3_E3_rerank,0.304,0.261,0.304,0.043,1.0,0.167,0,0
87,A3_E3_rerank,0.667,0.611,0.333,0.556,0.5,0.909,0,1
88,A3_E3_rerank,0.474,0.474,0.263,0.158,0.556,0.333,0,1
89,A3_E3_rerank,0.571,0.381,0.0,0.143,0.0,0.375,0,0
90,A3_E3_rerank,0.364,0.273,0.091,0.091,0.25,0.333,0,1
91,A3_E3_rerank,0.091,0.091,0.091,0.091,1.0,1.0,0,1
92,A3_E3_rerank,0.118,0.118,0.059,0.059,0.5,0.5,1,1
93,A3_E3_rerank,0.227,0.091,0.045,0.091,0.2,1.0,1,1
94,A3_E3_rerank,0.273,0.273,0.273,0.091,1.0,0.333,0,0
95,A3_E3_rerank,0.263,0.158,0.158,0.158,0.6,1.0,0,1
96,A3_E3_rerank,0.409,0.409,0.273,0.227,0.667,0.556,0,1
97,A3_E3_rerank,0.091,0.045,0.045,0.045,0.5,1.0,1,1
98,A3_E3_rerank,0.375,0.375,0.375,0.125,1.0,0.333,0,0
99,A3_E3_rerank,0.353,0.588,0.353,0.471,1.0,0.7,0,1
100,A3_E3_rerank,0.286,0.476,0.191,0.286,0.167,0.6,0,1
101,A3_E3_rerank,0.222,0.111,0.111,0.167,0.5,1.0,0,1
102,A3_E3_rerank,0.5,0.091,0.182,0.091,0.364,1.0,0,1
103,A3_E3_rerank,0.158,0.158,0.053,0.053,0.333,0.333,0,0
104,A3_E3_rerank,0.105,0.053,0.0,0.053,0.0,1.0,0,0
105,A3_E3_rerank,0.364,0.409,0.182,0.182,0.5,0.333,0,0
106,A3_E3_rerank,0.3,0.3,0.3,0.3,1.0,1.0,1,1
107,A3_E3_rerank,0.267,0.467,0.0,0.067,0.0,0.143,0,0
108,A3_E3_rerank,0.148,0.111,0.148,0.074,1.0,0.667,0,0
109,A3_E3_rerank,0.533,0.4,0.333,0.333,0.625,0.833,0,1
110,A3_E3_rerank,0.174,0.261,0.13,0.087,0.75,0.333,0,0
112,A3_E3_rerank,0.25,0.107,0.036,0.071,0.143,0.667,1,1
113,A3_E3_rerank,0.267,0.2,0.067,0.2,0.25,1.0,0,1
114,A3_E3_rerank,0.125,0.458,0.167,0.208,0.667,0.455,1,1
115,A3_E3_rerank,0.3,0.4,0.1,0.1,0.333,0.25,0,1
116,A3_E3_rerank,0.3,0.2,0.3,0.2,1.0,1.0,1,1
117,A3_E3_rerank,0.4,0.4,0.2,0.2,0.5,0.5,0,1
118,A3_E3_rerank,0.304,0.391,0.13,0.217,0.429,0.556,0,1
120,A3_E3_rerank,0.222,0.056,0.056,0.056,0.25,1.0,0,1
121,A3_E3_rerank,0.105,0.263,0.053,0.158,0.5,0.6,1,1
122,A3_E3_rerank,0.2,0.65,0.1,0.25,0.25,0.385,1,1
123,A3_E3_rerank,0.348,0.304,0.348,0.217,0.75,0.714,0,1
124,A3_E3_rerank,0.348,0.087,0.043,0.087,0.125,1.0,1,1
125,A3_E3_rerank,0.238,0.619,0.095,0.429,0.4,0.692,1,1
126,A3_E3_rerank,0.429,0.381,0.429,0.095,1.0,0.25,0,1
127,A3_E3_rerank,0.4,0.4,0.35,0.05,0.875,0.125,0,1
129,A3_E3_rerank,0.4,0.3,0.35,0.2,0.875,0.667,0,1
130,A3_E3_rerank,0.182,0.091,0.045,0.045,0.25,0.5,0,1
131,A3_E3_rerank,0.308,0.154,0.038,0.154,0.125,1.0,1,1
133,A3_E3_rerank,0.273,0.182,0.182,0.273,0.667,1.0,0,1
134,A3_E3_rerank,0.217,0.174,0.087,0.043,0.2,0.25,0,1
135,A3_E3_rerank,0.923,0.192,0.115,0.115,0.125,0.6,0,0
136,A3_E3_rerank,0.25,0.25,0.05,0.15,0.2,0.6,1,1
137,A3_E3_rerank,0.48,0.04,0.04,0.04,0.083,1.0,1,1
138,A3_E3_rerank,0.714,0.429,0.191,0.333,0.267,0.667,0,1
139,A3_E3_rerank,0.2,0.55,0.0,0.0,0.0,0.0,0,1
140,A3_E3_rerank,0.6,0.533,0.533,0.467,0.889,0.875,0,1
141,A3_E3_rerank,0.13,0.174,0.043,0.13,0.333,0.75,1,1
142,A3_E3_rerank,0.143,0.238,0.238,0.19,1.0,0.8,0,1
143,A3_E3_rerank,0.4,0.32,0.16,0.2,0.4,0.625,1,1
144,A3_E3_rerank,0.118,0.118,0.059,0.118,0.5,1.0,1,1
145,A3_E3_rerank,0.318,0.182,0.318,0.045,1.0,0.25,0,1
146,A3_E3_rerank,0.167,0.583,0.0,0.333,0.0,0.571,0,1
147,A3_E3_rerank,0.353,0.471,0.353,0.235,1.0,0.5,0,1
148,A3_E3_rerank,0.444,0.444,0.444,0.333,1.0,0.75,0,1
149,A3_E3_rerank,0.188,0.0,0.188,0.0,1.0,1.0,1,1
150,A3_E3_rerank,0.333,0.267,0.133,0.333,0.4,1.0,1,0
151,A3_E3_rerank,0.136,0.182,0.091,0.091,0.667,0.5,0,1
152,A3_E3_rerank,0.222,0.333,0.222,0.222,1.0,0.667,0,0
153,A3_E3_rerank,0.263,0.158,0.263,0.053,1.0,0.333,0,1
154,A3_E3_rerank,0.21,0.158,0.21,0.105,1.0,0.667,0,1
155,A3_E3_rerank,0.231,0.462,0.038,0.038,0.167,0.083,1,1
156,A3_E3_rerank,1.0,0.0,0.191,0.429,0.191,1.0,1,1
157,A3_E3_rerank,0.105,0.211,0.053,0.105,0.5,0.5,1,1
158,A3_E3_rerank,0.267,0.533,0.0,0.4,0.0,0.75,0,1
159,A3_E3_rerank,0.444,0.333,0.111,0.167,0.25,0.5,0,1
160,A3_E3_rerank,0.633,0.367,0.433,0.3,0.684,0.818,0,1
162,A3_E3_rerank,0.409,0.5,0.364,0.364,0.778,0.727,0,1
163,A3_E3_rerank,0.286,0.143,0.0,0.143,0.0,1.0,0,1
164,A3_E3_rerank,0.444,0.333,0.056,0.278,0.125,0.833,0,1
165,A3_E3_rerank,0.438,0.312,0.125,0.188,0.286,0.6,0,1
166,A3_E3_rerank,0.619,0.238,0.476,0.238,0.769,1.0,0,0
167,A3_E3_rerank,0.308,0.192,0.077,0.038,0.25,0.2,1,1
168,A3_E3_rerank,0.188,0.125,0.125,0.125,0.333,1.0,1,1
169,A3_E3_rerank,0.261,0.261,0.087,0.043,0.333,0.167,1,1
170,A3_E3_rerank,0.333,0.417,0.25,0.333,0.75,0.8,0,1
171,A3_E3_rerank,0.5,0.222,0.333,0.111,0.667,0.5,0,1
172,A3_E3_rerank,0.333,0.2,0.133,0.133,0.4,0.667,1,1
173,A3_E3_rerank,0.263,0.368,0.263,0.368,1.0,1.0,0,1
174,A3_E3_rerank,0.421,0.421,0.21,0.158,0.5,0.375,0,1
175,A3_E3_rerank,0.091,0.182,0.091,0.091,1.0,0.5,1,1
177,A3_E3_rerank,0.208,0.125,0.125,0.125,0.6,1.0,0,0
178,A3_E3_rerank,0.667,0.417,0.583,0.25,0.875,0.6,0,1
179,A3_E3_rerank,0.375,0.583,0.125,0.542,0.333,0.929,1,1
180,A3_E3_rerank,0.312,0.188,0.062,0.125,0.2,0.667,1,1
181,A3_E3_rerank,0.6,0.4,0.6,0.15,1.0,0.375,0,1
182,A3_E3_rerank,0.562,0.375,0.0,0.312,0.0,0.833,0,1
183,A3_E3_rerank,0.077,0.154,0.038,0.077,0.5,0.5,1,1
184,A3_E3_rerank,0.304,0.174,0.043,0.043,0.143,0.25,1,1
185,A3_E3_rerank,0.917,0.167,0.0,0.083,0.0,0.5,1,1
186,A3_E3_rerank,0.333,0.222,0.111,0.222,0.333,1.0,0,1
187,A3_E3_rerank,0.24,0.4,0.08,0.16,0.333,0.4,0,1
188,A3_E3_rerank,0.286,0.286,0.143,0.286,0.5,1.0,1,1
189,A3_E3_rerank,0.2,0.25,0.05,0.2,0.25,0.8,1,1
190,A3_E3_rerank,0.3,0.4,0.35,0.3,1.0,0.75,0,0
191,A3_E3_rerank,0.21,0.211,0.21,0.211,0.75,1.0,0,1
192,A3_E3_rerank,0.316,0.211,0.21,0.105,0.667,0.5,0,1
193,A3_E3_rerank,0.5,0.071,0.071,0.071,0.143,1.0,1,1
195,A3_E3_rerank,0.3,0.45,0.25,0.25,0.833,0.556,0,1
196,A3_E3_rerank,0.7,0.2,0.15,0.2,0.214,1.0,0,1
197,A3_E3_rerank,0.167,0.25,0.0,0.167,0.0,0.667,0,1
198,A3_E3_rerank,0.5,0.583,0.333,0.333,0.667,0.571,0,1
199,A3_E3_rerank,0.278,0.278,0.0,0.111,0.0,0.4,0,1
200,A3_E3_rerank,0.2,0.267,0.0,0.267,0.0,1.0,0,1
201,A3_E3_rerank,0.318,0.091,0.045,0.045,0.143,0.5,0,1
202,A3_E3_rerank,0.476,0.238,0.476,0.238,1.0,1.0,0,1
203,A3_E3_rerank,0.895,0.316,0.158,0.263,0.118,0.667,0,0
204,A3_E3_rerank,0.467,0.467,0.533,0.2,1.0,0.429,0,1
205,A3_E3_rerank,0.333,0.222,0.333,0.111,1.0,0.5,0,1
206,A3_E3_rerank,0.696,0.13,0.043,0.043,0.062,0.333,0,1
207,A3_E3_rerank,0.056,0.222,0.056,0.056,1.0,0.25,1,1
209,A3_E3_rerank,0.483,0.103,0.069,0.103,0.143,1.0,0,1
210,A3_E3_rerank,0.25,0.625,0.062,0.312,0.25,0.5,1,1
211,A3_E3_rerank,0.9,0.4,0.0,0.4,0.0,1.0,0,1
213,A3_E3_rerank,0.318,0.182,0.136,0.182,0.286,0.75,0,1
214,A3_E3_rerank,0.312,0.125,0.188,0.125,0.6,1.0,1,1
215,A3_E3_rerank,0.486,0.054,0.054,0.054,0.111,1.0,1,1
216,A3_E3_rerank,0.333,0.333,0.083,0.333,0.25,1.0,1,1
217,A3_E3_rerank,0.857,0.429,0.857,0.429,1.0,1.0,0,0
218,A3_E3_rerank,0.125,0.25,0.0,0.25,0.0,1.0,0,1
219,A3_E3_rerank,0.4,0.7,0.4,0.2,1.0,0.286,0,1
