id,model,ability,query,model_response,accuracy
38,openai/gpt-oss-20b,counterfactual_nodocs,When was Marvel's Spider-Man released?,"**Marvel’s Spider‑Man** (the original Insomniac Games title) was released for the PlayStation 4 on **September 7, 2018** in North America (and September 8, 2018 worldwide).",1
39,openai/gpt-oss-20b,counterfactual_nodocs,When was Assassin's Creed Valhalla released?,"**Assassin’s Creed Valhalla** was released on **November 10, 2020** for PlayStation 4, Xbox One, and PC. It later launched on the next‑gen consoles (PlayStation 5 and Xbox Series X/S) on **November 12, 2020**.",1
40,openai/gpt-oss-20b,counterfactual_nodocs,When does the iPhone 11 release?,"The iPhone 11 was officially released on **September 20, 2019** (after its announcement on September 10, 2019).",1
41,openai/gpt-oss-20b,counterfactual_nodocs,What is women's year-end No 1 in tennis in 2020?,,0
42,openai/gpt-oss-20b,counterfactual_nodocs,What is men's year-end No 1 in tennis in 2019?,"The men's year‑end world No. 1 in tennis for 2019 was **Novak Djokovic**. He finished the season ranked first in the ATP rankings, having won the Australian Open, Wimbledon, and the ATP Finals that year.",0
43,openai/gpt-oss-20b,counterfactual_nodocs,How much did Google acquire YouTube for?,Google acquired YouTube in 2006 for **$1.65 billion in stock** (about $1.5 billion in cash and $150 million in stock options). This deal made YouTube a subsidiary of Google and set the stage for its explosive growth.,1
44,openai/gpt-oss-20b,counterfactual_nodocs,when was The Legend of Zelda: Breath of the Wild released?,"**The Legend of Zelda: Breath of the Wild** was released on **March 3, 2017**.  
- Japan: March 3, 2017  
- North America, Europe, and Australia: March 3, 2017 (the same day as the Japanese launch).",1
45,openai/gpt-oss-20b,counterfactual_nodocs,when was The Legend of Zelda: Ocarina of Time released?,,0
46,openai/gpt-oss-20b,counterfactual_nodocs,when was Xenoblade Chronicles 2 released?,"**Xenoblade Chronicles 2** was released on:

| Region | Release date |
|--------|--------------|
| Japan | December 7 2017 |
| North America | March 26 2018 |
| Europe | March 30 2018 |

So the game first launched in Japan on December 7, 2017, and then reached the rest of the world in late March 2018.",0
47,openai/gpt-oss-20b,counterfactual_nodocs,When did the Golden Globe Awards 2020 take place?,"The 77th Golden Globe Awards, which honored the best in film and television for 2019, were held on **January 5, 2020** at the Beverly Hilton Hotel in Beverly Hills, California.",1
48,openai/gpt-oss-20b,counterfactual_nodocs,Who was awarded the 2021 Nobel Prize in Literature?,"The 2021 Nobel Prize in Literature was awarded to **Abdulrazak Gurnah**, the Tanzanian‑born novelist known for works such as *Paradise* and *By the Sea*.",1
49,openai/gpt-oss-20b,counterfactual_nodocs,Who was awarded the 2019 Nobel Prize in Literature?,"The 2019 Nobel Prize in Literature was awarded to **Peter Handke**, the Austrian novelist, playwright, and essayist.",1
50,openai/gpt-oss-20b,counterfactual_nodocs,Who was awarded the 2018 Nobel Prize in Literature?,,0
51,openai/gpt-oss-20b,counterfactual_nodocs,What is the release date of God of War (2018)?,"**God of War (2018)** was released on **April 20, 2018** (April 19, 2018 in some European regions).",1
52,openai/gpt-oss-20b,counterfactual_nodocs,What is the release date of The Last of Us Part II?,"**The Last of Us Part II** was released on **June 19, 2020** (North America) and a day later on June 20, 2020 in other regions.",1
53,openai/gpt-oss-20b,counterfactual_nodocs,What is the release date of Cyberpunk 2077?,"Cyberpunk 2077 was released on **December 10, 2020**.",1
54,openai/gpt-oss-20b,counterfactual_nodocs,When does season 4 of The Crown premiere?,"Season 4 of **The Crown** premiered on **November 15, 2020**.",1
55,openai/gpt-oss-20b,counterfactual_nodocs,When does season 3 of The Crown premiere?,"Season 3 of **The Crown** premiered on **November 15, 2019**.",0
56,openai/gpt-oss-20b,counterfactual_nodocs,Who directed Titanic?,Titanic was directed by **James Cameron**.,1
57,openai/gpt-oss-20b,counterfactual_nodocs,Who directed The Avengers?,The 2012 Marvel film **“The Avengers”** was directed by **Joss Whedon**.,1
58,openai/gpt-oss-20b,counterfactual_nodocs,"Who is starring as Mulan in the movie ""Mulan""?",The role of Mulan in Disney’s 2020 live‑action film is played by **Liu Yifei** (also known as Crystal Liu).,0
59,openai/gpt-oss-20b,counterfactual_nodocs,Who is the president of the NFL?,,0
60,openai/gpt-oss-20b,counterfactual_nodocs,Who is the president of the FIFA?,"The current president of FIFA is **Gianni Infantino**. He has held the position since February 2016, after being elected at the FIFA Congress in Zürich.",1
61,openai/gpt-oss-20b,counterfactual_nodocs,Who is the CEO of Facebook in 2021?,The CEO of Facebook in 2021 was **Mark Zuckerberg**.,1
62,openai/gpt-oss-20b,counterfactual_nodocs,Who is the CEO of Tesla in 2021?,The CEO of Tesla in 2021 was **Elon Musk**.,1
63,openai/gpt-oss-20b,counterfactual_nodocs,What movie won the Oscar for Best Animated Film in 2021?,The Oscar for Best Animated Feature at the 93rd Academy Awards (held in 2021) was awarded to **“Soul”** (Disney/Pixar).,1
64,openai/gpt-oss-20b,counterfactual_nodocs,What movie won the Oscar for Best Animated Film in 2020?,The Oscar for Best Animated Feature in 2020 was awarded to **“Toy Story 4.”**,1
65,openai/gpt-oss-20b,counterfactual_nodocs,Who will be playing the role of Billy Batson in Shazam!?,The role of Billy Batson in *Shazam!* is played by **Asher Angel**.,1
66,openai/gpt-oss-20b,counterfactual_nodocs,Who will be playing the role of Diana Prince in Wonder Woman 1984?,The role of Diana Prince (Wonder Woman) in *Wonder Woman 1984* is played by **Gal Gadot**.,1
67,openai/gpt-oss-20b,counterfactual_nodocs,Who was the runner-up of the 2018 World Cup?,The runner‑up of the 2018 FIFA World Cup was **Croatia**.,1
68,openai/gpt-oss-20b,counterfactual_nodocs,Who was the runner-up of the 2014 World Cup?,The runner‑up of the 2014 FIFA World Cup was **Argentina**.,1
69,openai/gpt-oss-20b,counterfactual_nodocs,Who was the runner-up of the 2010 World Cup?,The runner‑up of the 2010 FIFA World Cup was **the Netherlands**. They lost to Spain 1–0 in the final.,1
70,openai/gpt-oss-20b,counterfactual_nodocs,When will the first season of The Blacklist premiere?,"The first season of **“The Blacklist”** premiered on **September 23, 2013** on NBC.",1
71,openai/gpt-oss-20b,counterfactual_nodocs,What is the release date for Animal Crossing: New Horizons on Nintendo Switch?,"Animal Crossing: New Horizons was released for the Nintendo Switch on **March 20, 2020**.",1
72,openai/gpt-oss-20b,counterfactual_nodocs,What is the release date for Super Mario Odyssey on Nintendo Switch?,"Super Mario Odyssey was released for the Nintendo Switch on **October 27, 2017**.",1
73,openai/gpt-oss-20b,counterfactual_nodocs,Which movie won Best Picture at the 90th Academy Awards Ceremony?,The Best Picture winner at the 90th Academy Awards (2018) was **“The Shape of Water.”**,1
74,openai/gpt-oss-20b,counterfactual_nodocs,Which actor won Best Actor at the 92nd Academy Awards Ceremony?,The Best Actor award at the 92nd Academy Awards (held in 2020) went to **Joaquin Phoenix** for his performance in *Joker*.,1
75,openai/gpt-oss-20b,counterfactual_nodocs,Which director won Best Director at the 93rd Academy Awards Ceremony?,The Best Director award at the 93rd Academy Awards (held in 2021) was won by **Chloé Zhao** for her film *Nomadland*.,1
76,openai/gpt-oss-20b,counterfactual_nodocs,Who is the CEO of Lego in 2021?,,0
77,openai/gpt-oss-20b,counterfactual_nodocs,Who is the CEO of Nintendo in 2021?,"In 2021, the CEO of Nintendo was **Shuntaro Furukawa**. He had taken on the role of president and CEO in 2018 and continued to lead the company throughout 2021.",1
78,openai/gpt-oss-20b,counterfactual_nodocs,Who was named the 2021 National Teacher of the Year?,,0
79,openai/gpt-oss-20b,counterfactual_nodocs,Who was named the 2020 National Teacher of the Year?,,0
80,openai/gpt-oss-20b,counterfactual_nodocs,Who is the lead actress in La La Land?,The lead actress in *La La Land* is **Emma Stone**.,1
81,openai/gpt-oss-20b,counterfactual_nodocs,Who is the lead actress in The Shape of Water?,The lead actress in *The Shape of Water* is **Sally Hawkins**.,1
82,openai/gpt-oss-20b,counterfactual_nodocs,"Who is the director of ""Pretty Woman""?",The film **“Pretty Woman” (1990)** was directed by **Garry Marshall**.,1
83,openai/gpt-oss-20b,counterfactual_nodocs,"Who is the director of ""The Godfather""?","The director of **""The Godfather""** is **Francis Ford Coppola**.",1
84,openai/gpt-oss-20b,counterfactual_nodocs,"Who is the director of ""Bohemian Rhapsody""?",The 2018 biopic **“Bohemian Rhapsody”** was directed by **Bryan Singer** (who helmed most of the film) and **Dexter Fletcher** (who finished the project after Singer was replaced).,1
85,openai/gpt-oss-20b,counterfactual_nodocs,which city hosted the olympic games in 2012?,"The 2012 Summer Olympic Games were hosted by **London, United Kingdom**.",1
86,openai/gpt-oss-20b,counterfactual_nodocs,Who is the new CEO of Vanguard?,,0
87,openai/gpt-oss-20b,counterfactual_nodocs,Who is the new CEO of Fidelity Investments?,,0
88,openai/gpt-oss-20b,counterfactual_nodocs,When was Pixel 6 announced?,"The Google Pixel 6 was announced on **October 19, 2021** during a Google event that revealed the new Pixel 6 and Pixel 6 Pro smartphones.",1
89,openai/gpt-oss-20b,counterfactual_nodocs,When was Pixel 5a announced?,"The Google Pixel 5a was announced on **August 12, 2021**.",0
90,openai/gpt-oss-20b,counterfactual_nodocs,What is the name of Amazon's ai assistant in office?,Amazon’s AI assistant for office use is **Alexa** (specifically the “Alexa for Business” version that’s built into Amazon’s workplace tools).,1
91,openai/gpt-oss-20b,counterfactual_nodocs,What is the date of the 2020 NBA Draft?,"The 2020 NBA Draft took place on **November 18, 2020**.",1
92,openai/gpt-oss-20b,counterfactual_nodocs,What is the date of the 2021 NBA Draft?,"The 2021 NBA Draft was held on **July 29, 2021** (at the Barclays Center in Brooklyn, New York).",1
93,openai/gpt-oss-20b,counterfactual_nodocs,What is the name of Microsoft's AR headset?,Microsoft’s AR headset is called **HoloLens** (the current model is the HoloLens 2).,1
94,openai/gpt-oss-20b,counterfactual_nodocs,Who is the CEO of Google in 2021?,The CEO of Google in 2021 was **Sundar Pichai**.,1
95,openai/gpt-oss-20b,counterfactual_nodocs,Who is the CEO of Apple in 2021?,The CEO of Apple in 2021 was **Tim Cook**.,1
96,openai/gpt-oss-20b,counterfactual_nodocs,Who won the Masters golf tournament in 2021?,The 2021 Masters was won by **Hideki Matsuyama** of Japan. He captured his first major title by defeating Jon Rahm in a sudden‑death playoff.,1
97,openai/gpt-oss-20b,counterfactual_nodocs,Who won the British Open golf tournament in 2020?,"The 2020 Open Championship (British Open) was won by **Shane Lowry** of Ireland. He captured the title at Royal Liverpool (Hoylake), finishing one stroke ahead of Rory McIlroy.",1
98,openai/gpt-oss-20b,counterfactual_nodocs,which city hosted the olympic games in 2008?,"The 2008 Summer Olympic Games were hosted by **Beijing, China**.",1
99,openai/gpt-oss-20b,counterfactual_nodocs,which city hosted the olympic games in 2004?,"The 2004 Summer Olympic Games were hosted by **Athens, Greece**.",1
