Experiment ID,Domain,Chunking Strategy,Embedding Model,Retrieval Technique,Re-ranking,Generator LLM Used,Context Ordering,Context Relevance (score),Context Utilization (score),Completeness (score),Adherence (score),Context Relevance RMSE ↓,Context Utilization RMSE ↓,Completeness RMSE ↓,Adherence AUROC ↑,Valid Judge Response,Status
FIN-042,Finance,large_sem_1100,finbert,dense,cross_encoder,llama-3.3-70b-versatile,sides,0.091,0.075,0.833,0.817,0.0627,0.0594,0.4256,0.4524,,
FIN-043,Finance,large_sem_1100,finbert,hybrid,none,llama-3.3-70b-versatile,forward,0.092,0.077,0.837,0.764,0.0591,0.056,0.3775,0.4048,,
FIN-044,Finance,large_sem_1100,finbert,hybrid,none,llama-3.3-70b-versatile,reverse,0.088,0.057,0.689,0.827,0.0607,0.0333,0.5011,0.4702,,
FIN-045,Finance,large_sem_1100,finbert,hybrid,none,llama-3.3-70b-versatile,sides,0.088,0.065,0.737,0.7,0.0574,0.0617,0.5326,0.5714,,
FIN-046,Finance,large_sem_1100,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,forward,0.105,0.087,0.847,0.858,0.0873,0.0831,0.3145,0.2857,,
FIN-047,Finance,large_sem_1100,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,reverse,0.095,0.067,0.636,0.841,0.0697,0.0787,0.5317,0.5714,,
FIN-048,Finance,large_sem_1100,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,sides,0.091,0.075,0.833,0.817,0.0627,0.0594,0.4256,0.4524,,
FIN-049,Finance,whole_doc,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,forward,0.104,0.086,0.767,0.706,0.0745,0.0877,0.393,0.5774,,
FIN-050,Finance,whole_doc,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,reverse,0.084,0.07,0.803,0.784,0.0573,0.0604,0.4362,0.5952,,
FIN-051,Finance,whole_doc,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,sides,0.095,0.072,0.76,0.834,0.0602,0.039,0.457,0.3274,,
FIN-052,Finance,whole_doc,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,forward,0.099,0.083,0.844,0.824,0.074,0.0723,0.3405,0.4702,,
FIN-053,Finance,whole_doc,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,reverse,0.077,0.063,0.78,0.802,0.0591,0.0601,0.4583,0.5536,,
FIN-054,Finance,whole_doc,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,sides,0.127,0.063,0.66,0.824,0.1018,0.0406,0.5022,0.3571,,
FIN-055,Finance,whole_doc,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,forward,0.103,0.089,0.797,0.754,0.0759,0.0866,0.3702,0.4107,,
FIN-056,Finance,whole_doc,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,reverse,0.079,0.067,0.833,0.739,0.0593,0.0604,0.4333,0.4881,,
FIN-057,Finance,whole_doc,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,sides,0.116,0.071,0.733,0.808,0.0933,0.041,0.4321,0.2976,,
FIN-058,Finance,whole_doc,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,forward,0.099,0.083,0.844,0.824,0.074,0.0723,0.3405,0.4702,,
FIN-059,Finance,whole_doc,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,reverse,0.077,0.063,0.78,0.802,0.0591,0.0601,0.4583,0.5536,,
FIN-060,Finance,whole_doc,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,sides,0.127,0.063,0.66,0.824,0.1018,0.0406,0.5022,0.3571,,
FIN-061,Finance,sentence_4o1,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,forward,0.133,0.099,0.67,0.828,0.1395,0.1266,0.5305,0.4405,,
FIN-062,Finance,sentence_4o1,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,reverse,0.164,0.13,0.597,0.732,0.1863,0.1857,0.5974,0.4107,,
FIN-063,Finance,sentence_4o1,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,sides,0.148,0.115,0.7,0.788,0.1488,0.1346,0.5,0.5595,,
FIN-064,Finance,sentence_4o1,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,forward,0.163,0.137,0.897,0.848,0.1647,0.1506,0.3354,0.4821,,
FIN-065,Finance,sentence_4o1,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,reverse,0.176,0.086,0.607,0.856,0.2168,0.1165,0.5802,0.4583,,
FIN-066,Finance,sentence_4o1,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,sides,0.164,0.111,0.76,0.837,0.2101,0.1276,0.4899,0.4643,,
FIN-067,Finance,sentence_4o1,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,forward,0.166,0.105,0.737,0.823,0.2173,0.1389,0.5069,0.3869,,
FIN-068,Finance,sentence_4o1,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,reverse,0.146,0.056,0.583,0.861,0.1771,0.046,0.5747,0.4881,,
FIN-069,Finance,sentence_4o1,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,sides,0.204,0.104,0.773,0.935,0.2488,0.1295,0.4137,0.5714,,
FIN-070,Finance,sentence_4o1,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,forward,0.163,0.137,0.897,0.848,0.1647,0.1506,0.3354,0.4821,,
FIN-071,Finance,sentence_4o1,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,reverse,0.176,0.086,0.607,0.856,0.2168,0.1165,0.5802,0.4583,,
FIN-072,Finance,sentence_4o1,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,sides,0.164,0.111,0.76,0.837,0.2101,0.1276,0.4899,0.4643,,
FIN-073,Finance,fixed_150w,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,forward,0.364,0.248,0.553,0.83,0.3804,0.3115,0.654,0.381,,
FIN-074,Finance,fixed_150w,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,reverse,0.37,0.306,0.66,0.834,0.3612,0.3664,0.5568,0.4107,,
FIN-075,Finance,fixed_150w,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,sides,0.404,0.312,0.707,0.922,0.3939,0.361,0.4853,0.5179,,
FIN-076,Finance,fixed_150w,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,forward,0.38,0.288,0.653,0.843,0.375,0.3369,0.5457,0.369,,
FIN-077,Finance,fixed_150w,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,reverse,0.354,0.25,0.707,0.893,0.3506,0.2708,0.5617,0.5119,,
FIN-078,Finance,fixed_150w,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,sides,0.398,0.306,0.7,0.836,0.3818,0.347,0.5323,0.4702,,
FIN-079,Finance,fixed_150w,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,forward,0.404,0.304,0.72,0.809,0.3747,0.335,0.4989,0.3571,,
FIN-080,Finance,fixed_150w,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,reverse,0.346,0.282,0.653,0.826,0.3507,0.3458,0.5812,0.4583,,
FIN-081,Finance,fixed_150w,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,sides,0.366,0.282,0.607,0.85,0.3646,0.3439,0.6209,0.2857,,
FIN-082,Finance,fixed_150w,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,forward,0.38,0.288,0.653,0.843,0.375,0.3369,0.5457,0.369,,
FIN-083,Finance,fixed_150w,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,reverse,0.354,0.25,0.707,0.893,0.3506,0.2708,0.5617,0.5119,,
FIN-084,Finance,fixed_150w,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,sides,0.398,0.306,0.7,0.836,0.3818,0.347,0.5323,0.4702,,
FIN-085,Finance,large_sem_1100,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,forward,0.115,0.102,0.893,0.74,0.1105,0.1053,0.3018,0.3274,,
FIN-086,Finance,large_sem_1100,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,reverse,0.095,0.077,0.727,0.818,0.0758,0.0852,0.4888,0.4762,,
FIN-087,Finance,large_sem_1100,bge-small-en-v1.5,dense,none,llama-3.3-70b-versatile,sides,0.093,0.085,0.857,0.73,0.0592,0.0621,0.3731,0.5,,
FIN-088,Finance,large_sem_1100,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,forward,0.102,0.087,0.873,0.846,0.0875,0.0831,0.3283,0.2857,,
FIN-089,Finance,large_sem_1100,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,reverse,0.087,0.06,0.64,0.843,0.0526,0.0683,0.5312,0.5714,,
FIN-090,Finance,large_sem_1100,bge-small-en-v1.5,dense,cross_encoder,llama-3.3-70b-versatile,sides,0.091,0.075,0.833,0.817,0.0627,0.0594,0.4256,0.4524,,
FIN-091,Finance,large_sem_1100,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,forward,0.097,0.064,0.747,0.786,0.0779,0.0418,0.3859,0.4107,,
FIN-092,Finance,large_sem_1100,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,reverse,0.103,0.075,0.783,0.823,0.0721,0.0615,0.4082,0.4286,,
FIN-093,Finance,large_sem_1100,bge-small-en-v1.5,hybrid,none,llama-3.3-70b-versatile,sides,0.106,0.071,0.71,0.789,0.0887,0.0622,0.4388,0.4167,,
FIN-094,Finance,large_sem_1100,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,forward,0.102,0.087,0.873,0.846,0.0875,0.0831,0.3283,0.2857,,
FIN-095,Finance,large_sem_1100,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,reverse,0.087,0.06,0.64,0.843,0.0526,0.0683,0.5312,0.5714,,
FIN-096,Finance,large_sem_1100,bge-small-en-v1.5,hybrid,cross_encoder,llama-3.3-70b-versatile,sides,0.091,0.075,0.833,0.817,0.0627,0.0594,0.4256,0.4524,,
